question1,question2,label,m3e-small,s-bert(all-MiniLM-L6-v2),gte-small
How do I get from Brooklyn to Downtown using bus?,How do I get from Union Station to Times Square using metro?,1,0.9067566,0.4831908047199249,0.8594801425933838
How do I get from Central Park to LA using train?,How do I get from Downtown to San Francisco using metro?,1,0.89865935,0.5430701375007629,0.8588269352912903
How do I get from San Francisco to Union Station using metro?,Is the bus from JFK Airport to Union Station running this weekend?,0,0.8432484,0.4652802050113678,0.837073802947998
How do I get from Central Park to San Diego using train?,How do I get from Times Square to San Diego using bus?,1,0.94315606,0.7339082956314087,0.8851888179779053
How do I get from Manhattan to Brooklyn using train?,How do I get from City Center to Central Park using train?,1,0.992768,0.5810415148735046,0.8906069397926331
How do I get from San Francisco to Central Park using train?,How do I get from LA to Brooklyn using train?,1,0.992768,0.6359756588935852,0.887877345085144
How do I get from Times Square to JFK Airport using metro?,How do I get from Brooklyn to Downtown using train?,1,0.8941851,0.5718787312507629,0.8683798909187317
How do I get from Central Park to City Center using train?,How do I get from Central Park to Manhattan using metro?,1,0.8983823,0.7590464949607849,0.940307080745697
How do I get from Central Park to LA using bus?,Is the bus from Central Park to City Center running this weekend?,0,0.90603006,0.6568711400032043,0.8912823796272278
How do I get from JFK Airport to Times Square using metro?,What's the way from JFK Airport to Times Square using metro?,2,0.96531516,0.9498016834259033,0.9860897064208984
How do I get from JFK Airport to City Center using bus?,What's the way from JFK Airport to City Center using bus?,2,0.96784,0.9404633045196533,0.9885260462760925
How do I get from Central Park to Union Station using bus?,Is the metro from San Diego to Union Station running today?,0,0.84872246,0.5091394782066345,0.8497646450996399
How do I get from LA to San Diego using metro?,Is the metro from LA to San Diego running today?,0,0.8797333,0.7589547038078308,0.9258254170417786
How do I get from Times Square to San Diego using train?,What's the way from Times Square to San Diego using train?,2,0.9686791,0.9448181986808777,0.9852806925773621
How do I get from Downtown to LA using bus?,How do I get from LA to Brooklyn using train?,1,0.92782146,0.669741690158844,0.883859395980835
How do I get from Brooklyn to City Center using metro?,What's the way from Brooklyn to City Center using metro?,2,0.96624076,0.933407723903656,0.9878097772598267
How do I get from Central Park to LA using bus?,Is the train from Union Station to Brooklyn running next Monday?,0,0.8670673,0.3557118773460388,0.7835694551467896
How do I get from Downtown to Brooklyn using train?,Is the train from Manhattan to LA running next Monday?,0,0.9076169,0.600798487663269,0.8386162519454956
How do I get from Downtown to Brooklyn using metro?,What's the way from Downtown to Brooklyn using metro?,2,0.95935243,0.94547039270401,0.9859296679496765
How do I get from JFK Airport to Brooklyn using bus?,How do I get from JFK Airport to City Center using bus?,1,0.99821293,0.8149480223655701,0.9449030160903931
How do I get from Downtown to Brooklyn using train?,Is the train from Central Park to San Diego running tomorrow?,0,0.8794067,0.442070871591568,0.8401683568954468
How do I get from San Diego to LA using train?,How do I get from City Center to Central Park using bus?,1,0.9403368,0.49059808254241943,0.8293786644935608
How do I get from LA to Times Square using bus?,What's the way from LA to Times Square using bus?,2,0.9650619,0.9372499585151672,0.9845277070999146
How do I get from Union Station to Times Square using metro?,How do I get from JFK Airport to Central Park using bus?,1,0.9219032,0.4342387914657593,0.8319856524467468
How do I get from Brooklyn to JFK Airport using bus?,How do I get from Manhattan to LA using train?,1,0.93339276,0.6585406064987183,0.8362215161323547
How do I get from Brooklyn to City Center using train?,How do I get from Central Park to LA using bus?,1,0.93663204,0.6412376165390015,0.8595722317695618
How do I get from Union Station to San Francisco using metro?,How do I get from JFK Airport to Central Park using bus?,1,0.9219032,0.45083555579185486,0.8197206854820251
How do I get from City Center to Brooklyn using metro?,How do I get from Union Station to San Francisco using train?,1,0.8983823,0.5428593158721924,0.8438782095909119
Is the train from Manhattan to Downtown running tomorrow?,Do trains from Manhattan to Downtown running tomorrow?,2,0.99434555,0.9354267120361328,0.9896533489227295
How do I get from San Diego to San Francisco using train?,How do I get from Union Station to City Center using bus?,1,0.94315606,0.5035119652748108,0.8437649607658386
Is the train from San Francisco to LA running tomorrow?,Do trains from San Francisco to LA running tomorrow?,2,0.9948084,0.9434032440185547,0.9905014038085938
How do I get from Brooklyn to LA using bus?,How do I get from San Diego to San Francisco using train?,1,0.92678493,0.5402418971061707,0.8543668985366821
How do I get from Brooklyn to Downtown using train?,How do I get from Brooklyn to LA using bus?,1,0.92782146,0.7806132435798645,0.900618314743042
How do I get from JFK Airport to San Francisco using train?,Is the train from Times Square to Manhattan running tomorrow?,0,0.8850272,0.480977863073349,0.82903653383255
How do I get from City Center to Times Square using bus?,What's the way from City Center to Times Square using bus?,2,0.96784,0.9364848732948303,0.9877224564552307
How do I get from Times Square to San Diego using train?,How do I get from Brooklyn to JFK Airport using bus?,1,0.9381837,0.4294928014278412,0.811394989490509
How do I get from Union Station to City Center using bus?,How do I get from San Diego to JFK Airport using train?,1,0.94315606,0.5497605800628662,0.8376588821411133
How do I get from San Francisco to Brooklyn using train?,How do I get from Manhattan to Union Station using train?,1,0.9997187,0.7265221476554871,0.8964132070541382
How do I get from San Francisco to San Diego using train?,How do I get from JFK Airport to San Francisco using bus?,1,0.94315606,0.6914467215538025,0.8642619252204895
How do I get from Downtown to Brooklyn using metro?,Is the metro from City Center to Brooklyn running tomorrow?,0,0.873289,0.7305919528007507,0.904254138469696
How do I get from Brooklyn to Downtown using metro?,How do I get from Times Square to JFK Airport using metro?,1,0.99394554,0.6724171042442322,0.9042659401893616
How do I get from City Center to JFK Airport using train?,What's the way from City Center to JFK Airport using train?,2,0.9686791,0.9380567073822021,0.9877443909645081
Is the train from San Francisco to LA running tomorrow?,Do trains from San Francisco to LA running tomorrow?,2,0.9948084,0.9434032440185547,0.9905014038085938
How do I get from Union Station to City Center using bus?,Is the bus from JFK Airport to San Francisco running tomorrow?,0,0.8962673,0.43916210532188416,0.8179536461830139
How do I get from Union Station to Manhattan using metro?,Is the bus from Brooklyn to San Diego running this weekend?,0,0.8236335,0.32063767313957214,0.788999080657959
How do I get from Central Park to San Diego using bus?,How do I get from LA to Central Park using metro?,1,0.9145739,0.6784875988960266,0.918194055557251
How do I get from Brooklyn to JFK Airport using bus?,How do I get from Manhattan to Times Square using bus?,1,0.9999996,0.7284426689147949,0.8932426571846008
How do I get from JFK Airport to San Francisco using train?,How do I get from Brooklyn to Downtown using train?,1,0.992768,0.6657960414886475,0.8824377655982971
How do I get from Brooklyn to Downtown using train?,How do I get from Downtown to Central Park using train?,1,0.99696326,0.7883436679840088,0.9302020072937012
How do I get from JFK Airport to Central Park using bus?,How do I get from Times Square to Central Park using train?,1,0.94315606,0.6821001768112183,0.8941431045532227
How do I get from JFK Airport to Times Square using metro?,How do I get from Union Station to San Diego using bus?,1,0.9219032,0.37189781665802,0.8028700351715088
How do I get from JFK Airport to Times Square using metro?,What's the way from JFK Airport to Times Square using metro?,2,0.96531516,0.9498016834259033,0.9860897064208984
How do I get from Downtown to San Francisco using metro?,Is the train from City Center to Central Park running this weekend?,0,0.82521325,0.39590004086494446,0.8182721138000488
How do I get from San Francisco to Downtown using train?,What's the way from San Francisco to Downtown using train?,2,0.96794504,0.9463051557540894,0.9842244982719421
How do I get from San Diego to San Francisco using metro?,How do I get from Central Park to Brooklyn using train?,1,0.90335625,0.47611305117607117,0.8487906455993652
How do I get from Central Park to JFK Airport using train?,Is the bus from Brooklyn to San Diego running today?,0,0.84104013,0.3528721034526825,0.7927361130714417
How do I get from Times Square to JFK Airport using metro?,How do I get from JFK Airport to Union Station using bus?,1,0.9219032,0.6833508610725403,0.9069207310676575
How do I get from Central Park to LA using train?,How do I get from Brooklyn to San Diego using metro?,1,0.89865935,0.5432052612304688,0.8464973568916321
How do I get from JFK Airport to City Center using bus?,How do I get from Manhattan to JFK Airport using bus?,1,0.99837583,0.8538410067558289,0.9556443691253662
How do I get from Brooklyn to Downtown using train?,What's the way from Brooklyn to Downtown using train?,2,0.96309984,0.9382856488227844,0.9860122799873352
How do I get from JFK Airport to Downtown using bus?,Is the metro from City Center to Times Square running next Monday?,0,0.86257744,0.3545874059200287,0.8003809452056885
How do I get from JFK Airport to Times Square using metro?,Is the bus from Union Station to Central Park running tomorrow?,0,0.83305067,0.3657033443450928,0.8079559206962585
How do I get from Union Station to Brooklyn using metro?,How do I get from Times Square to San Diego using bus?,1,0.9145691,0.4515641927719116,0.8450024724006653
How do I get from LA to San Francisco using metro?,How do I get from City Center to JFK Airport using train?,1,0.8985646,0.46923089027404785,0.8478328585624695
How do I get from LA to Manhattan using bus?,How do I get from Manhattan to Downtown using metro?,1,0.9015567,0.7444819808006287,0.9048210382461548
How do I get from Manhattan to Downtown using bus?,How do I get from Manhattan to Times Square using bus?,1,0.99691373,0.8187113404273987,0.946130633354187
How do I get from City Center to Downtown using train?,How do I get from Brooklyn to Downtown using bus?,1,0.92823076,0.7021191120147705,0.8967854380607605
How do I get from LA to Downtown using train?,Is the metro from San Francisco to Brooklyn running tomorrow?,0,0.8209837,0.4864293038845062,0.8046829700469971
How do I get from LA to San Francisco using metro?,How do I get from Brooklyn to Manhattan using bus?,1,0.9031915,0.5386802554130554,0.8569954633712769
How do I get from Brooklyn to San Diego using metro?,Is the bus from Times Square to Central Park running tomorrow?,0,0.82539105,0.38255390524864197,0.8085300922393799
How do I get from Times Square to Manhattan using bus?,What's the way from Times Square to Manhattan using bus?,2,0.9633494,0.9401963949203491,0.9818912744522095
How do I get from Central Park to LA using metro?,How do I get from LA to Downtown using train?,1,0.8919432,0.7913063764572144,0.9156718254089355
How do I get from Times Square to LA using train?,Is the metro from Manhattan to Brooklyn running today?,0,0.7986735,0.446285605430603,0.8129292726516724
How do I get from Central Park to Downtown using metro?,Is the metro from Downtown to Brooklyn running tomorrow?,0,0.87126994,0.603196918964386,0.8792775869369507
How do I get from Union Station to San Francisco using train?,Is the bus from Central Park to City Center running this weekend?,0,0.8578875,0.3765273690223694,0.7913497090339661
How do I get from Manhattan to City Center using train?,How do I get from Manhattan to JFK Airport using bus?,1,0.9372192,0.6840575933456421,0.8714417219161987
How do I get from Union Station to San Francisco using train?,Is the train from Central Park to JFK Airport running this weekend?,0,0.89337295,0.43703269958496094,0.8000086545944214
How do I get from San Francisco to Downtown using train?,Is the bus from JFK Airport to San Diego running next Monday?,0,0.86779076,0.4631485939025879,0.7998384237289429
How do I get from City Center to Brooklyn using train?,How do I get from San Francisco to Central Park using train?,1,0.99770397,0.6741726398468018,0.9012110829353333
How do I get from Manhattan to Times Square using bus?,Is the bus from Union Station to Downtown running today?,0,0.90096605,0.4825795888900757,0.8485596179962158
How do I get from Brooklyn to Union Station using metro?,Is the train from Manhattan to Downtown running tomorrow?,0,0.8194822,0.5351136922836304,0.8275876641273499
How do I get from City Center to San Francisco using train?,How do I get from JFK Airport to City Center using bus?,1,0.94315606,0.6016941666603088,0.8789282441139221
How do I get from LA to Downtown using train?,Is the metro from Union Station to San Diego running today?,0,0.809548,0.4425046443939209,0.8181820511817932
How do I get from Times Square to San Diego using train?,Is the train from Union Station to Central Park running next Monday?,0,0.9172918,0.4404645562171936,0.8265336155891418
How do I get from Union Station to Central Park using metro?,Is the metro from Manhattan to Brooklyn running today?,0,0.8742843,0.4850502014160156,0.8404760956764221
How do I get from City Center to Downtown using train?,Is the bus from City Center to LA running today?,0,0.8379399,0.5170970559120178,0.8564733862876892
How do I get from Union Station to Times Square using bus?,Is the metro from Downtown to LA running tomorrow?,0,0.8319438,0.3899470865726471,0.8010328412055969
How do I get from LA to San Francisco using metro?,How do I get from Downtown to LA using bus?,1,0.9031915,0.6372696757316589,0.8952750563621521
How do I get from Manhattan to Downtown using train?,Is the train from LA to Union Station running this weekend?,0,0.88386023,0.41223111748695374,0.8171111941337585
Is the train from Union Station to Central Park running next Monday?,Do trains from Union Station to Central Park running next Monday?,2,0.9937366,0.9590688943862915,0.9912411570549011
How do I get from Union Station to Times Square using bus?,How do I get from JFK Airport to City Center using metro?,1,0.9219032,0.5010029077529907,0.8430384993553162
How do I get from Central Park to Manhattan using metro?,Is the bus from Union Station to Downtown running next Monday?,0,0.85044134,0.40420833230018616,0.8327390551567078
How do I get from LA to Central Park using metro?,Is the train from Times Square to Manhattan running tomorrow?,0,0.82111776,0.39796212315559387,0.8162102103233337
How do I get from Downtown to LA using bus?,How do I get from Central Park to Manhattan using metro?,1,0.90337074,0.5304571986198425,0.8456218242645264
How do I get from LA to Downtown using bus?,Is the bus from Central Park to City Center running this weekend?,0,0.89993554,0.5400442481040955,0.8455219864845276
How do I get from JFK Airport to Central Park using bus?,Is the metro from Times Square to Downtown running next Monday?,0,0.8679787,0.34752902388572693,0.7999781966209412
How do I get from City Center to Central Park using train?,How do I get from Times Square to Manhattan using train?,1,0.99770397,0.6121851801872253,0.888888418674469
How do I get from LA to Downtown using train?,How do I get from Downtown to Brooklyn using train?,1,0.9999999,0.819476306438446,0.9250154495239258
How do I get from Central Park to City Center using train?,How do I get from Downtown to Brooklyn using metro?,1,0.88951266,0.6069474816322327,0.8785880208015442
How do I get from Brooklyn to City Center using metro?,Is the train from San Diego to Union Station running today?,0,0.8347618,0.3129875063896179,0.792976438999176
How do I get from San Diego to Times Square using metro?,Is the metro from Times Square to Manhattan running this weekend?,0,0.8847962,0.5923058390617371,0.8749953508377075
How do I get from Times Square to San Francisco using train?,How do I get from Brooklyn to Downtown using metro?,1,0.88951266,0.5847800374031067,0.86967933177948
How do I get from Central Park to San Diego using bus?,What's the way from Central Park to San Diego using bus?,2,0.96784,0.9431974291801453,0.9872811436653137
How do I get from LA to Brooklyn using train?,How do I get from Brooklyn to JFK Airport using bus?,1,0.93339276,0.7595701217651367,0.8983376622200012
How do I get from San Diego to Brooklyn using train?,Is the bus from Union Station to City Center running next Monday?,0,0.86779076,0.4185895621776581,0.8177803158760071
How do I get from Times Square to San Diego using train?,Is the bus from Central Park to Manhattan running tomorrow?,0,0.847227,0.411487877368927,0.8155817985534668
How do I get from Manhattan to Union Station using train?,How do I get from Manhattan to San Francisco using metro?,1,0.89872354,0.6054537892341614,0.8944538831710815
How do I get from Central Park to Times Square using train?,How do I get from Brooklyn to Downtown using metro?,1,0.88951266,0.5827488303184509,0.8763881921768188
How do I get from San Francisco to Times Square using bus?,What's the way from San Francisco to Times Square using bus?,2,0.96784,0.9439659118652344,0.9851621985435486
How do I get from JFK Airport to LA using train?,Is the metro from City Center to Brooklyn running tomorrow?,0,0.8295397,0.4025059640407562,0.7987107038497925
How do I get from Manhattan to Downtown using bus?,How do I get from City Center to San Francisco using train?,1,0.92678493,0.5603256821632385,0.8797750473022461
How do I get from Times Square to LA using train?,What's the way from Times Square to LA using train?,2,0.96794504,0.9352712035179138,0.9801226258277893
How do I get from Union Station to San Diego using bus?,How do I get from LA to Downtown using train?,1,0.9340061,0.5416174530982971,0.8484225869178772
How do I get from Times Square to JFK Airport using metro?,What's the way from Times Square to JFK Airport using metro?,2,0.96531516,0.9461289048194885,0.9840666651725769
How do I get from JFK Airport to Downtown using bus?,Is the train from Union Station to Brooklyn running next Monday?,0,0.8670673,0.329319030046463,0.7971429824829102
Is the train from San Diego to Manhattan running today?,Do trains from San Diego to Manhattan running today?,2,0.9942608,0.9349006414413452,0.990318775177002
How do I get from Central Park to San Diego using train?,How do I get from Union Station to Times Square using metro?,1,0.90513605,0.42930179834365845,0.8361095190048218
How do I get from Times Square to Central Park using train?,What's the way from Times Square to Central Park using train?,2,0.9686791,0.9444505572319031,0.9860908389091492
How do I get from Brooklyn to JFK Airport using bus?,Is the metro from City Center to Times Square running tomorrow?,0,0.83823866,0.318451851606369,0.7919796109199524
How do I get from Manhattan to Downtown using metro?,What's the way from Manhattan to Downtown using metro?,2,0.95935243,0.9311806559562683,0.9836793541908264
How do I get from City Center to Downtown using train?,Is the metro from Manhattan to Central Park running this weekend?,0,0.82341284,0.5091668963432312,0.8426182866096497
How do I get from Union Station to Manhattan using metro?,How do I get from Times Square to Manhattan using bus?,1,0.9119492,0.7148699164390564,0.9051229357719421
How do I get from Central Park to City Center using train?,Is the metro from Downtown to Brooklyn running tomorrow?,0,0.82204217,0.44221311807632446,0.8449394106864929
How do I get from Manhattan to LA using train?,How do I get from San Diego to Downtown using bus?,1,0.9331193,0.4261741638183594,0.8371085524559021
How do I get from City Center to Union Station using bus?,How do I get from Union Station to Brooklyn using metro?,1,0.9145691,0.711535632610321,0.9163898229598999
How do I get from Times Square to Central Park using train?,How do I get from Central Park to San Diego using train?,1,1.0000001,0.6956759691238403,0.9279652237892151
How do I get from City Center to San Diego using metro?,Is the metro from San Diego to Central Park running next Monday?,0,0.91508377,0.6816603541374207,0.899563729763031
How do I get from Union Station to San Francisco using metro?,Is the train from JFK Airport to San Diego running this weekend?,0,0.83407354,0.445944219827652,0.8056886196136475
